Sample	CH2103_650_1h_H2
Comments	
Filename	C:\Measurements\Makogon\2018\272\CH2103_650_1h_H2.raw
Goniometer	Ultima IV
Attachment	MPA-ML4 (with gamma) for T.F.& std
Monochromater	Fixed Monochro.(U4)
ScanningMode	2Theta/Theta
ScanningType	FT
X-Ray	30kV/30mA
DivSlit	1/2deg.
DivH.L.Slit	5.00mm
SctSlit	1/2deg.
RecSlit	0.45mm
Monochro RS	No Use
Start	20
Stop	60
Step	0.04
FT	5
20	24
20.04	28
20.08	20
20.12	22
20.16	22
20.2	29
20.24	34
20.28	40
20.32	26
20.36	24
20.4	27
20.44	19
20.48	27
20.52	21
20.56	14
20.6	23
20.64	21
20.68	33
20.72	19
20.76	22
20.8	20
20.84	22
20.88	21
20.92	24
20.96	31
21	35
21.04	32
21.08	25
21.12	25
21.16	24
21.2	21
21.24	25
21.28	23
21.32	25
21.36	21
21.4	24
21.44	24
21.48	17
21.52	17
21.56	30
21.6	23
21.64	18
21.68	28
21.72	29
21.76	29
21.8	29
21.84	26
21.88	18
21.92	23
21.96	27
22	29
22.04	25
22.08	24
22.12	25
22.16	24
22.2	18
22.24	14
22.28	19
22.32	17
22.36	19
22.4	24
22.44	24
22.48	20
22.52	24
22.56	24
22.6	20
22.64	18
22.68	24
22.72	28
22.76	19
22.8	23
22.84	24
22.88	13
22.92	23
22.96	21
23	21
23.04	13
23.08	20
23.12	21
23.16	13
23.2	11
23.24	22
23.28	20
23.32	25
23.36	19
23.4	22
23.44	24
23.48	15
23.52	15
23.56	30
23.6	29
23.64	12
23.68	18
23.72	14
23.76	14
23.8	22
23.84	21
23.88	26
23.92	18
23.96	28
24	23
24.04	19
24.08	16
24.12	19
24.16	15
24.2	18
24.24	18
24.28	28
24.32	12
24.36	22
24.4	20
24.44	20
24.48	22
24.52	17
24.56	22
24.6	17
24.64	18
24.68	16
24.72	18
24.76	18
24.8	20
24.84	16
24.88	22
24.92	22
24.96	17
25	20
25.04	22
25.08	18
25.12	18
25.16	16
25.2	17
25.24	14
25.28	15
25.32	17
25.36	17
25.4	15
25.44	18
25.48	16
25.52	17
25.56	11
25.6	16
25.64	11
25.68	15
25.72	23
25.76	16
25.8	17
25.84	16
25.88	12
25.92	16
25.96	18
26	16
26.04	20
26.08	16
26.12	17
26.16	20
26.2	16
26.24	13
26.28	19
26.32	16
26.36	17
26.4	15
26.44	16
26.48	19
26.52	16
26.56	12
26.6	17
26.64	13
26.68	13
26.72	19
26.76	8
26.8	13
26.84	13
26.88	19
26.92	16
26.96	17
27	12
27.04	14
27.08	11
27.12	18
27.16	25
27.2	17
27.24	9
27.28	11
27.32	24
27.36	14
27.4	22
27.44	16
27.48	12
27.52	21
27.56	19
27.6	12
27.64	18
27.68	12
27.72	25
27.76	14
27.8	17
27.84	12
27.88	27
27.92	19
27.96	9
28	15
28.04	17
28.08	19
28.12	17
28.16	16
28.2	18
28.24	22
28.28	10
28.32	20
28.36	26
28.4	13
28.44	16
28.48	17
28.52	18
28.56	15
28.6	18
28.64	17
28.68	16
28.72	10
28.76	12
28.8	16
28.84	13
28.88	21
28.92	16
28.96	12
29	11
29.04	18
29.08	10
29.12	12
29.16	9
29.2	17
29.24	11
29.28	14
29.32	13
29.36	15
29.4	9
29.44	16
29.48	10
29.52	15
29.56	12
29.6	14
29.64	19
29.68	20
29.72	11
29.76	12
29.8	17
29.84	18
29.88	15
29.92	14
29.96	13
30	14
30.04	10
30.08	9
30.12	14
30.16	16
30.2	14
30.24	15
30.28	13
30.32	14
30.36	14
30.4	15
30.44	20
30.48	15
30.52	16
30.56	17
30.6	15
30.64	8
30.68	14
30.72	9
30.76	11
30.8	9
30.84	19
30.88	18
30.92	9
30.96	11
31	10
31.04	15
31.08	17
31.12	9
31.16	19
31.2	19
31.24	15
31.28	14
31.32	15
